id,neighborhood,property_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,rating,superhost,response_time,minimum_nights,maximum_nights,latitude,longitude
1162095,Dupont Circle,Condominium,2,2.0,1,105,0,0,94.0,0,,7,1125,38.90894,-77.04471
1169835,Brightwood Park,Townhouse,1,1.0,1,60,0,0,88.0,1,within an hour,1,365,38.9434,-77.03441
1177438,Union Station,Townhouse,8,2.0,2,244,0,124,95.0,1,within an hour,2,89,38.90419,-77.0022
1183261,Columbia Heights,Condominium,2,1.0,1,129,300,200,94.0,0,within an hour,90,1120,38.9276,-77.03764
1185566,Columbia Heights,Townhouse,10,3.5,4,350,500,200,95.0,1,within an hour,3,21,38.93049,-77.044
1187380,Dupont Circle,Condominium,2,1.0,0,86,800,60,97.0,1,within an hour,360,1120,38.90796,-77.04041
1187496,Historic Anacostia,House,1,1.0,1,60,0,0,92.0,0,within a few hours,2,6,38.86182,-76.9894
1194661,North Cleveland Park,Apartment,4,1.0,1,105,500,75,99.0,0,,1,365,38.94994000000001,-77.06770999999998
1202878,Capitol Hill,Guest suite,3,1.0,1,139,449,65,97.0,1,within an hour,3,365,38.88155,-76.99699
1205516,Southwest Employment Area,House,2,1.0,1,68,200,20,89.0,0,within an hour,1,1125,38.87164,-77.01247
1210979,Columbia Heights,House,1,1.0,1,80,250,45,100.0,0,,2,10,38.92919000000001,-77.02708
1213652,Edgewood,Guest suite,4,1.0,1,200,500,100,88.0,0,within an hour,3,1125,38.91364,-77.01402
1225965,Spring Valley,Condominium,2,1.0,1,125,0,0,89.0,0,within a day,2,365,38.92987,-77.08388000000002
1245292,Hawthorne,House,2,1.0,1,89,100,50,98.0,1,within an hour,1,1125,38.96594,-77.078
1270729,Union Station,House,4,2.5,2,1000,200,200,97.0,1,within an hour,2,10,38.89259000000001,-76.99799
1273717,Columbia Heights,House,2,1.5,2,165,400,100,96.0,0,a few days or more,2,1125,38.93461,-77.04668000000002
1280092,Brightwood Park,Apartment,4,1.0,1,70,0,65,95.0,1,within an hour,2,1125,38.94099,-77.02121
1281015,Union Station,Guest suite,4,1.0,1,135,100,60,97.0,1,within an hour,3,7,38.89959,-77.00005999999998
1284169,Columbia Heights,Apartment,4,1.0,1,110,400,90,98.0,1,within an hour,4,180,38.9277,-77.03121999999998
1286332,Howard University,Townhouse,4,3.0,3,150,0,90,93.0,0,,5,28,38.9188,-77.01541
