neighborhood,property_type,accommodates,bathrooms,bedrooms,price,cleaning_fee,rating,superhost,response_time,latitude,longitude
Dupont Circle,Condominium,8,2.0,2,169,75,98.0,Yes,within an hour,38.90733,-77.0353
Brightwood Park,House,2,1.0,1,55,0,96.0,No,within an hour,38.94565,-77.01818
Columbia Heights,Apartment,4,1.0,0,94,30,97.0,Yes,within an hour,38.93049,-77.04279
Columbia Heights,Apartment,2,1.5,1,149,205,91.0,No,within an hour,38.92575,-77.03426999999998
Columbia Heights,Apartment,5,2.0,2,249,205,88.0,No,within an hour,38.92533,-77.03463
Columbia Heights,Apartment,6,2.0,2,196,210,88.0,No,within an hour,38.92615,-77.03428000000002
Dupont Circle,Apartment,4,1.0,1,139,85,93.0,No,within an hour,38.90873,-77.04414
Shaw,Apartment,2,1.0,0,65,0,94.0,Yes,within a few hours,38.90625,-77.01574000000002
Shaw,Condominium,2,1.0,1,99,75,95.0,No,within an hour,38.90621,-77.01626
Union Station,House,4,1.5,2,275,0,,No,,38.89303,-76.9776
Capitol Hill,Apartment,4,1.0,1,145,60,97.0,Yes,within an hour,38.88928,-76.98704000000002
Brightwood Park,Apartment,4,1.0,1,96,35,94.0,No,within an hour,38.94177,-77.02337
Dupont Circle,Condominium,2,1.0,1,100,80,97.0,No,,38.91072,-77.03995
Shaw,Townhouse,2,1.0,1,70,30,97.0,Yes,within a few hours,38.91389,-77.01971999999998
Columbia Heights,Apartment,2,1.0,1,55,52,97.0,No,within a few hours,38.93287,-77.031
Union Station,House,2,1.5,1,50,20,95.0,No,within an hour,38.89716,-76.99667
Shaw,Apartment,3,1.0,1,85,20,85.0,No,within a day,38.90842,-77.02793
Capitol Hill,Apartment,4,1.0,1,175,75,97.0,Yes,within an hour,38.88494,-77.00796
Edgewood,House,1,1.5,1,62,39,98.0,Yes,within an hour,38.91757,-77.0011
Capitol Hill,Townhouse,4,1.0,0,160,60,99.0,Yes,within an hour,38.88382,-76.99984
Capitol Hill,Apartment,2,1.0,1,130,50,98.0,Yes,within a few hours,38.8819,-76.99349000000002
Union Station,House,2,1.0,1,55,25,100.0,No,,38.90451,-76.99476999999997
Union Station,Apartment,2,1.0,0,83,65,98.0,Yes,within a few hours,38.89911,-76.9918
Dupont Circle,Condominium,2,1.0,0,90,49,96.0,Yes,,38.91707,-77.03511999999998
Kalorama Heights,Apartment,2,1.0,1,105,0,87.0,No,,38.92175,-77.04424
Dupont Circle,Apartment,4,1.0,1,55,85,95.0,Yes,within an hour,38.91208,-77.03772
Shaw,Condominium,2,1.0,1,100,0,99.0,Yes,within a few hours,38.91173,-77.03376999999998
Columbia Heights,Apartment,3,1.0,0,100,100,95.0,No,within a day,38.92207,-77.0298
Capitol Hill,Apartment,4,1.0,0,175,110,99.0,Yes,within an hour,38.89013,-77.00026
Edgewood,House,3,2.0,3,175,100,80.0,No,,38.91447,-77.00749
Dupont Circle,Apartment,3,1.0,1,80,50,93.0,No,,38.91369,-77.04458000000002
Columbia Heights,House,4,2.5,3,150,70,100.0,No,,38.93191,-77.02684
Dupont Circle,Apartment,2,1.0,1,75,0,,No,,38.91429,-77.03929000000002
Columbia Heights,Apartment,2,1.0,1,65,0,85.0,No,,38.93345,-77.03303000000002
Columbia Heights,Apartment,2,1.0,1,90,20,95.0,No,,38.92943,-77.03784
Shaw,House,6,2.5,3,497,140,99.0,Yes,within an hour,38.91269000000001,-77.03045
Columbia Heights,House,2,1.0,1,85,30,97.0,Yes,within a day,38.92956,-77.03984
Union Station,House,2,1.0,1,55,0,91.0,No,,38.9061,-76.99838000000003
Union Station,House,6,2.5,1,230,80,,No,,38.89386,-76.98647
Kalorama Heights,Apartment,4,2.0,2,275,75,99.0,Yes,within an hour,38.92266,-77.04177
Dupont Circle,Apartment,4,1.0,1,171,200,97.0,Yes,within an hour,38.91499,-77.0388
Brightwood Park,House,2,1.0,1,70,0,94.0,No,within an hour,38.94352,-77.01318
Columbia Heights,Apartment,2,1.0,1,95,30,97.0,No,,38.93529,-77.02484
Edgewood,Apartment,1,1.0,1,35,15,83.0,No,within an hour,38.91573,-77.00929000000002
Capitol Hill,Apartment,6,2.0,2,285,50,98.0,Yes,within an hour,38.88498,-77.00534
Brightwood Park,Condominium,1,2.0,1,35,20,87.0,No,within an hour,38.93815,-77.02378
Shaw,Apartment,2,1.0,1,129,0,98.0,Yes,,38.90585,-77.01809
Dupont Circle,Condominium,4,1.0,1,75,75,95.0,Yes,within an hour,38.9134,-77.04258
Kalorama Heights,Apartment,6,2.0,2,150,0,98.0,No,,38.92346,-77.03899
Dupont Circle,Apartment,2,1.0,1,134,49,98.0,Yes,within an hour,38.91412,-77.04137
